date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:36:03	23989/23989	---MCZ	200	added ('OK')	text/html	etag:W/%221c02f57-5db5-54d4b0fda4472%22	http://risotto.mycookroom.ru/1.0.8/components-pagination.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/components-pagination.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:36:03	24467/24467	---MCZ	200	added ('OK')	text/html	etag:W/%221c02e57-5f93-54d4b0f438e6a%22	http://risotto.mycookroom.ru/1.0.8/components-progress-bars.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/components-progress-bars.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:36:03	23013/23013	---MCZ	200	added ('OK')	text/html	etag:W/%221c02e59-59e5-54d4b0f4a740a%22	http://risotto.mycookroom.ru/1.0.8/components-tabs.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/components-tabs.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:36:04	28468/28468	---MCZ	200	added ('OK')	text/html	etag:W/%221c02e58-6f34-54d4b0f470cf2%22	http://risotto.mycookroom.ru/1.0.8/components-tables.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/components-tables.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:36:04	24642/24642	---MCZ	200	added ('OK')	text/html	etag:W/%221c02e5a-6042-54d4b0f4de2f2%22	http://risotto.mycookroom.ru/1.0.8/components-team.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/components-team.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:36:04	24999/24999	---MCZ	200	added ('OK')	text/html	etag:W/%221c02e5b-61a7-54d4b0f5159aa%22	http://risotto.mycookroom.ru/1.0.8/components-typography.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/components-typography.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:36:05	23537/23537	---MCZ	200	added ('OK')	text/html	etag:W/%221c02e5c-5bf1-54d4b0f54c4aa%22	http://risotto.mycookroom.ru/1.0.8/contact.html	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/contact.html	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:36:08	35218/35218	---M--	200	added ('OK')	image/jpeg	etag:%221c06c36-8992-54d4b12a41e89%22	http://risotto.mycookroom.ru/1.0.8/assets/images/shop/1.jpg	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/assets/images/shop/1.jpg	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:36:10	31708/31708	---M--	200	added ('OK')	image/jpeg	etag:%221c06c39-7bdc-54d4b12ad84c9%22	http://risotto.mycookroom.ru/1.0.8/assets/images/shop/2.jpg	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/assets/images/shop/2.jpg	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:36:15	44890/44890	---M--	200	added ('OK')	image/jpeg	etag:%221c06c2a-af5a-54d4b125db331%22	http://risotto.mycookroom.ru/1.0.8/assets/images/demo/3.jpg	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/assets/images/demo/3.jpg	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:36:16	56558/56558	---M--	200	added ('OK')	image/jpeg	etag:%221c06c29-dcee-54d4b12563d09%22	http://risotto.mycookroom.ru/1.0.8/assets/images/demo/2.jpg	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/assets/images/demo/2.jpg	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:36:16	39974/39974	---M--	200	added ('OK')	image/jpeg	etag:%221c06c2b-9c26-54d4b125fd229%22	http://risotto.mycookroom.ru/1.0.8/assets/images/demo/4.jpg	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/assets/images/demo/4.jpg	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:36:19	81745/81745	---M--	200	added ('OK')	image/jpeg	etag:%221c06c28-13f51-54d4b12583109%22	http://risotto.mycookroom.ru/1.0.8/assets/images/demo/1.jpg	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/assets/images/demo/1.jpg	(from http://risotto.mycookroom.ru/1.0.8/start.html)
13:36:25	85659/85659	---MCZ	200	added ('OK')	text/javascript	etag:W/%221c06bf9-14e9b-54d4b1131c9d9%22	http://risotto.mycookroom.ru/1.0.8/assets/js/jquery-2.2.3.min.js	C:/My%20Web%20Sites/CastaDelSur/risotto.mycookroom.ru/1.0.8/assets/js/jquery-2.2.3.min.js	(from http://risotto.mycookroom.ru/1.0.8/start.html)
